brand,maturity_date,coupon_pct,price_jpy
第１回 利付国債（４０年）,2048-03-20,2.4,98.4085
第２回 利付国債（４０年）,2049-03-20,2.2,93.9249
第３回 利付国債（４０年）,2050-03-20,2.2,92.7252
第４回 利付国債（４０年）,2051-03-20,2.2,91.0972
第５回 利付国債（４０年）,2052-03-20,2,86.1274
第６回 利付国債（４０年）,2053-03-20,1.9,83.2899
第７回 利付国債（４０年）,2054-03-20,1.7,78.3731
第８回 利付国債（４０年）,2055-03-20,1.4,71.8702
第９回 利付国債（４０年）,2056-03-20,0.4,50.6613
第１０回 利付国債（４０年）,2057-03-20,0.9,59.8393
第１１回 利付国債（４０年）,2058-03-20,0.8,56.6586
第１２回 利付国債（４０年）,2059-03-20,0.5,49.0502
第１３回 利付国債（４０年）,2060-03-20,0.5,47.7091
第１４回 利付国債（４０年）,2061-03-20,0.7,50.576
第１５回 利付国債（４０年）,2062-03-20,1,55.8369
第１６回 利付国債（４０年）,2063-03-20,1.3,61.2954
第１７回 利付国債（４０年）,2064-03-20,2.2,80.4128
第１８回 利付国債（４０年）,2065-03-20,3.1,100.1783
第１回 利付国債（３０年）,2029-09-20,2.8,107.6842
第２回 利付国債（３０年）,2030-02-20,2.4,106.3744
第３回 利付国債（３０年）,2030-05-20,2.3,106.327
第４回 利付国債（３０年）,2030-11-20,2.9,109.8841
第５回 利付国債（３０年）,2031-05-20,2.2,106.5805
第６回 利付国債（３０年）,2031-11-20,2.4,108.1801
第７回 利付国債（３０年）,2032-05-20,2.3,107.8182
第８回 利付国債（３０年）,2032-11-22,1.8,104.4653
第９回 利付国債（３０年）,2032-12-20,1.4,101.6151
第１０回 利付国債（３０年）,2033-03-20,1.1,99.2936
第１１回 利付国債（３０年）,2033-06-20,1.7,103.637
第１２回 利付国債（３０年）,2033-09-20,2.1,106.6553
第１３回 利付国債（３０年）,2033-12-20,2,105.8261
第１４回 利付国債（３０年）,2034-03-20,2.4,108.9974
第１５回 利付国債（３０年）,2034-06-20,2.5,109.8161
第１６回 利付国債（３０年）,2034-09-20,2.5,109.7912
第１７回 利付国債（３０年）,2034-12-20,2.4,108.863
第１８回 利付国債（３０年）,2035-03-20,2.3,107.8832
